# Undirected 3-regular random graph, seed 28
n = 400
167 : 115w55 117w61 157w79 363w44
168 : 131w73 193w23 301w8 342w80
169 : 70w84 132w67 260w8 302w63
170 : 128w82 203w19 295w94 334w38
171 : 154w81 194w66 284w81 353w12
172 : 56w38 186w73 193w7 384w54
173 : 15w94 248w42 351w50 388w13
174 : 4w30 106w35 322w1 399w2
175 : 11w9 67w17 192w53 197w42
176 : 58w21 76w87 308w55 349w41
177 : 46w3 81w43 152w8 355w58
178 : 1w30 52w82 90w31 323w43
179 : 120w25 233w78 235w11 388w33
180 : 43w6 152w44 330w91 341w66
181 : 39w43 60w20 254w39 293w96
182 : 114w99 118w14 243w63 364w86
183 : 107w20 123w86 225w41 328w32
184 : 6w48 136w0 224w56 317w94
185 : 39w3 223w64 234w69 303w34
186 : 66w31 172w73 347w54 365w89
187 : 96w89 229w70 344w35 399w17
188 : 80w96 150w15 203w56 334w12
189 : 26w92 32w17 113w86 266w100
190 : 70w38 84w54 126w39 284w51
191 : 252w30 265w98 314w24 366w4
192 : 175w53 264w51 297w70 362w68
193 : 143w84 168w23 172w7 234w71
194 : 53w32 85w85 102w70 171w66
195 : 22w53 34w74 290w78 390w85
196 : 17w44 243w68 273w3 335w93
197 : 128w40 137w41 175w42 292w89
198 : 107w85 116w29 206w8 297w24
199 : 32w75 56w54 93w34 112w8
200 : 27w18 29w88 46w59 59w96
201 : 25w13 121w73 261w25 367w64
202 : 224w28 323w69 330w74 337w92
203 : 114w53 170w19 188w56 322w31
204 : 268w65 315w100 325w35 392w28
205 : 48w83 101w53 105w43 342w94
206 : 33w40 58w48 138w46 198w8
207 : 39w2 335w72 341w39 361w83
208 : 125w70 227w15 281w35 369w82
209 : 72w59 114w44 268w18 313w68
210 : 157w42 246w83 276w81 351w18
211 : 21w67 91w54 212w44 396w17
212 : 12w1 49w89 211w44 245w86
213 : 91w88 133w18 145w92 282w47
214 : 25w61 255w20 356w46 362w84
215 : 113w81 244w30 285w38 320w19
216 : 21w3 80w2 116w100 145w30
217 : 84w18 111w56 255w50 396w2
218 : 161w45 220w98 348w15 354w98
219 : 117w72 133w16 159w45 347w68
220 : 8w25 84w73 138w52 218w98
221 : 90w95 311w33 338w58 394w96
222 : 38w94 49w59 223w92 311w41
223 : 80w68 185w64 222w92 359w42
224 : 184w56 202w28 247w60 393w1
225 : 55w19 66w62 124w58 183w41
226 : 89w66 119w12 296w40 360w90
227 : 54w23 147w95 208w15 302w0
228 : 241w76 268w39 372w8 398w48
229 : 2w33 47w24 113w77 187w70
230 : 122w84 155w39 316w43 327w3
231 : 44w53 99w52 130w53 304w90
232 : 9w33 21w97 104w69 238w28
233 : 77w43 179w78 279w67 319w35
234 : 161w94 185w69 193w71 392w98
235 : 33w85 74w17 179w11 289w91
236 : 22w76 52w88 64w57 109w16
237 : 16w2 240w97 279w48 338w34
238 : 70w19 140w43 232w28 364w90
239 : 252w46 295w84 330w89 376w6
240 : 33w17 237w97 332w11 382w18
241 : 28w54 228w76 327w33 374w56
242 : 116w37 126w75 327w36 390w87
243 : 40w25 73w55 182w63 196w68
244 : 110w66 144w98 215w30 398w78
245 : 32w62 103w94 212w86 326w96
246 : 131w74 142w14 210w83 292w54
247 : 5w50 79w81 224w60 338w72
248 : 6w55 68w89 173w42 352w35
249 : 42w84 148w67 347w64 380w79
250 : 137w20 272w67 317w7 322w20
251 : 14w54 367w92 383w69 385w64
252 : 41w39 191w30 239w46 379w79
253 : 68w69 100w90 118w58 278w9
254 : 42w48 181w39 263w93 329w88
255 : 97w30 164w64 214w20 217w50
256 : 56w5 64w70 270w54 293w85
257 : 53w68 71w97 156w39 163w10
258 : 103w49 269w95 333w70 348w95
259 : 64w37 86w63 135w43 297w0
260 : 55w49 141w80 169w8 355w81
261 : 20w83 50w17 201w25 277w19
262 : 131w81 283w2 314w22 325w18
263 : 75w37 254w93 265w14 305w22
264 : 125w84 152w4 192w51 361w92
265 : 22w14 191w98 263w14 291w45
266 : 189w100 310w72 367w38 377w94
267 : 100w84 304w19 320w11 334w49
268 : 44w76 204w65 209w18 228w39
269 : 144w2 258w95 282w91 378w73
270 : 40w46 63w1 114w62 256w54
271 : 0w48 5w81 102w83 127w6
272 : 48w80 155w61 250w67 310w79
273 : 39w60 111w7 196w3 320w50
274 : 9w54 106w46 275w44 358w24
275 : 26w64 274w44 343w84 399w4
276 : 10w22 15w37 42w8 210w81
277 : 61w75 158w10 261w19 377w81
278 : 122w77 137w97 253w9 303w38
279 : 233w67 237w48 296w21 381w8
280 : 84w78 128w86 294w64 300w74
281 : 208w35 331w82 334w13 335w44
282 : 213w47 269w91 346w92 360w5
283 : 71w78 108w49 262w2 373w64
284 : 47w75 99w63 171w81 190w51
285 : 101w35 148w27 215w38 380w0
286 : 13w95 95w98 158w88 349w37
287 : 36w31 71w10 316w28 366w17
288 : 25w9 29w19 154w51 338w5
289 : 57w39 125w11 235w91 323w94
290 : 4w9 55w50 195w78 363w47
291 : 24w3 265w45 318w80 367w52
292 : 93w45 160w28 197w89 246w54
293 : 87w59 181w96 256w85 393w61
294 : 76w84 280w64 306w6 391w36
295 : 24w64 170w94 239w84 395w40
296 : 67w21 83w90 226w40 279w21
297 : 166w48 192w70 198w24 259w0
298 : 88w67 117w97 153w25 345w82
299 : 45w17 140w61 333w88 381w11
300 : 73w68 129w28 138w6 280w74
301 : 79w40 168w8 313w81 315w80
302 : 72w68 143w69 169w63 227w0
303 : 26w24 185w34 278w38 352w16
304 : 88w59 104w64 231w90 267w19
305 : 127w7 147w37 263w22 370w3
306 : 17w42 40w13 294w6 350w41
307 : 61w46 120w53 134w14 397w58
308 : 56w64 60w46 95w68 176w55
309 : 51w62 123w68 157w28 341w50
310 : 18w41 65w73 266w72 272w79
311 : 79w39 86w83 221w33 222w41
312 : 12w93 162w95 349w54 357w90
313 : 58w45 209w68 301w81 397w70
314 : 94w54 191w24 262w22 391w91
315 : 204w100 301w80 372w50 385w53
316 : 89w58 230w43 287w28 371w78
317 : 184w94 250w7 386w9 391w71
318 : 291w80 319w31 330w63 398w10
319 : 20w1 107w6 233w35 318w31
320 : 215w19 267w11 273w50 394w35
321 : 33w32 143w55 332w14 356w51
322 : 83w63 174w1 203w31 250w20
323 : 10w81 178w43 202w69 289w94
324 : 23w96 59w79 349w66 376w38
325 : 35w64 204w35 262w18 327w65
326 : 7w51 41w41 153w81 245w96
327 : 230w3 241w33 242w36 325w65
328 : 32w26 136w52 183w32 356w59
329 : 12w65 17w10 146w77 254w88
330 : 180w91 202w74 239w89 318w63
331 : 53w28 281w82 354w76 378w44
332 : 49w78 166w46 240w11 321w14
333 : 27w29 258w70 299w88 381w21
334 : 170w38 188w12 267w49 281w13
335 : 196w93 207w72 281w44 386w20
336 : 92w0 94w8 156w21 362w66
337 : 69w66 159w45 202w92 370w75
338 : 221w58 237w34 247w72 288w5
339 : 2w17 8w73 149w41 372w20
340 : 29w87 85w31 109w55 360w34
341 : 119w35 180w66 207w39 309w50
342 : 168w80 205w94 354w33 375w19
343 : 9w42 78w22 275w84 344w86
344 : 11w60 13w62 187w35 343w86
345 : 35w45 49w40 59w26 298w82
346 : 31w99 73w10 282w92 373w16
347 : 186w54 219w68 249w64 362w34
348 : 16w48 115w83 218w15 258w95
349 : 176w41 286w37 312w54 324w66
350 : 91w56 306w41 359w13 388w62
351 : 28w69 74w53 173w50 210w18
352 : 135w37 248w35 303w16 384w57
353 : 11w39 46w72 112w59 171w12
354 : 150w22 218w98 331w76 342w33
355 : 3w42 62w32 177w58 260w81
356 : 8w100 214w46 321w51 328w59
357 : 0w34 63w15 82w50 312w90
358 : 41w82 130w32 147w75 274w24
359 : 50w47 141w48 223w42 350w13
360 : 79w32 226w90 282w5 340w34
361 : 7w15 207w83 264w92 382w18
362 : 192w68 214w84 336w66 347w34
363 : 44w10 156w10 167w44 290w47
364 : 67w18 162w87 182w86 238w90
365 : 14w4 20w56 186w89 370w17
366 : 52w76 68w62 191w4 287w17
367 : 201w64 251w92 266w38 291w52
368 : 35w77 37w100 106w84 390w52
369 : 83w26 148w70 164w32 208w82
370 : 85w60 305w3 337w75 365w17
371 : 74w73 134w42 316w78 372w82
372 : 228w8 315w50 339w20 371w82
373 : 1w12 92w14 283w64 346w16
374 : 34w27 57w10 241w56 396w16
375 : 141w65 146w39 342w19 381w72
376 : 78w89 138w55 239w6 324w38
377 : 59w55 266w94 277w81 394w78
378 : 99w1 104w66 269w73 331w44
379 : 30w31 105w64 252w79 392w42
380 : 134w94 144w63 249w79 285w0
381 : 279w8 299w11 333w21 375w72
382 : 98w57 112w6 240w18 361w18
383 : 21w25 70w75 166w28 251w69
384 : 119w64 131w8 172w54 352w57
385 : 12w26 77w4 251w64 315w53
386 : 46w39 53w0 317w9 335w20
387 : 8w21 24w74 142w91 152w90
388 : 142w25 173w13 179w33 350w62
389 : 0w35 118w94 139w30 143w44
390 : 96w37 195w85 242w87 368w52
391 : 89w43 294w36 314w91 317w71
392 : 50w27 204w28 234w98 379w42
393 : 37w58 54w85 224w1 293w61
394 : 163w55 221w96 320w35 377w78
395 : 2w20 43w37 75w96 295w40
396 : 87w29 211w17 217w2 374w16
397 : 37w9 135w59 307w58 313w70
398 : 18w17 228w48 244w78 318w10
399 : 93w63 174w2 187w17 275w4
