# Undirected 3-regular random graph, seed 26
n = 200
156 : 7w12 49w92 57w69 138w86
157 : 150w95 155w52 162w29 187w4
158 : 51w15 55w63 169w96 188w80
159 : 62w2 70w61 71w90 122w84
160 : 66w75 67w69 83w45 133w72
161 : 40w94 54w20 76w96 140w23
162 : 79w51 105w61 157w29 173w90
163 : 20w34 78w20 90w61 185w59
164 : 41w79 60w72 116w22 172w26
165 : 24w96 60w64 94w8 106w54
166 : 146w79 173w16 181w54 192w37
167 : 15w26 38w82 138w90 148w79
168 : 110w9 131w29 141w97 149w35
169 : 80w92 125w62 129w26 158w96
170 : 5w24 122w31 195w70 199w59
171 : 73w18 119w50 154w17 196w57
172 : 15w71 142w51 164w26 198w38
173 : 28w30 136w97 162w90 166w16
174 : 99w51 114w80 153w28 197w48
175 : 19w100 52w46 56w58 87w41
176 : 48w100 70w61 76w75 118w40
177 : 12w87 81w74 119w67 151w41
178 : 59w33 68w77 78w48 114w49
179 : 57w12 76w1 193w81 199w79
180 : 50w93 131w87 134w98 142w2
181 : 67w81 88w36 104w94 166w54
182 : 16w55 26w5 88w59 193w66
183 : 89w4 129w28 149w95 194w55
184 : 82w88 86w4 151w88 194w11
185 : 40w85 112w96 132w69 163w59
186 : 2w92 30w41 103w7 139w86
187 : 44w56 90w88 96w9 157w4
188 : 45w79 108w67 115w89 158w80
189 : 9w28 42w95 64w13 143w40
190 : 13w1 94w30 131w38 135w25
191 : 13w69 144w7 145w18 198w69
192 : 87w22 124w100 154w93 166w37
193 : 20w19 48w3 179w81 182w66
194 : 85w15 87w0 183w55 184w11
195 : 23w40 31w84 41w0 170w70
196 : 36w98 110w59 121w2 171w57
197 : 25w64 96w4 104w59 174w48
198 : 14w50 21w43 172w38 191w69
199 : 101w68 111w86 170w59 179w79
