# Undirected 3-regular random graph, seed 27
n = 300
70 : 35w27 180w9 240w39 247w12
71 : 45w46 51w67 103w23 189w63
72 : 37w3 45w63 46w78 226w29
73 : 6w24 211w80 223w59 229w47
74 : 8w34 196w3 239w48 245w67
75 : 61w18 141w35 187w45 208w46
76 : 125w22 187w10 237w96 260w74
77 : 3w88 160w79 201w69 267w7
78 : 193w27 205w21 259w21 277w69
79 : 20w12 210w15 218w57 293w98
80 : 112w44 213w31 286w4 293w39
81 : 117w46 190w91 221w63 248w37
82 : 27w6 124w16 172w1 223w30
83 : 129w44 139w20 176w58 186w62
84 : 38w12 102w70 117w61 205w58
85 : 0w24 99w99 147w60 151w56
86 : 122w79 176w34 201w52 297w58
87 : 1w60 54w25 89w42 163w44
88 : 149w23 192w76 213w36 279w37
89 : 49w35 61w30 87w42 168w12
90 : 22w62 61w70 115w74 221w100
91 : 28w12 206w17 220w6 255w46
92 : 93w19 157w23 185w81 277w7
93 : 92w19 108w98 131w4 216w85
94 : 150w85 177w48 258w0 279w95
95 : 46w22 52w39 153w10 188w65
96 : 67w36 170w11 183w77 195w86
97 : 22w80 28w20 231w80 296w89
98 : 109w87 129w58 152w66 194w83
99 : 85w99 112w70 184w34 296w81
100 : 47w6 121w45 125w93 231w78
101 : 53w50 132w28 204w92 228w76
102 : 84w70 161w3 268w45 269w24
103 : 62w14 71w23 143w58 227w79
104 : 217w33 234w17 253w80 271w55
105 : 14w95 65w36 153w47 239w44
106 : 60w86 119w46 179w27 292w9
107 : 9w13 34w16 175w18 199w40
108 : 93w98 194w60 211w0 228w96
109 : 98w87 180w7 197w11 263w92
110 : 120w15 167w86 215w93 273w78
111 : 4w64 12w52 17w18 271w77
112 : 80w44 99w70 189w78 273w54
113 : 115w89 117w81 172w37 178w83
114 : 55w54 219w93 228w3 278w26
115 : 90w74 113w89 156w84 218w20
116 : 9w75 37w11 198w36 275w42
117 : 81w46 84w61 113w81 295w86
118 : 135w65 145w79 147w45 152w42
119 : 28w16 66w54 106w46 208w70
120 : 11w26 110w15 155w91 287w68
121 : 60w11 100w45 157w62 201w49
122 : 21w18 44w87 86w79 269w30
123 : 62w45 144w59 243w32 280w47
124 : 23w80 82w16 177w62 179w30
125 : 76w22 100w93 174w29 219w66
126 : 158w41 232w81 270w70 291w68
127 : 131w100 185w17 196w16 251w86
128 : 6w41 33w26 230w21 273w0
129 : 10w64 41w77 83w44 98w58
130 : 30w35 192w40 215w88 282w87
131 : 93w4 127w100 169w35 268w64
132 : 25w45 101w28 144w6 177w29
133 : 35w32 64w67 170w47 252w36
134 : 7w13 29w66 232w79 241w55
135 : 118w65 221w78 262w48 294w72
136 : 10w60 33w4 241w54 294w90
137 : 53w43 59w51 140w24 267w67
138 : 164w2 165w50 270w56 283w43
139 : 11w52 54w83 83w20 167w76
140 : 52w74 137w24 213w64 246w10
141 : 2w77 75w35 179w38 274w95
142 : 65w9 186w87 259w88 284w93
143 : 53w33 103w58 152w17 168w43
144 : 68w28 123w59 132w6 214w26
145 : 118w79 162w78 202w18 250w93
146 : 22w76 37w74 260w45 266w80
147 : 85w60 118w45 205w31 253w10
148 : 45w94 160w40 281w29 293w20
149 : 48w25 88w23 209w99 257w76
150 : 40w13 94w85 242w21 292w27
151 : 24w20 85w56 170w78 207w17
152 : 98w66 118w42 143w17 280w24
153 : 95w10 105w47 234w13 238w51
154 : 12w48 46w28 156w73 202w34
155 : 120w91 210w72 236w31 243w77
156 : 115w84 154w73 174w3 262w9
157 : 17w84 92w23 121w62 185w59
158 : 32w97 68w0 126w41 229w60
159 : 14w50 165w46 236w0 296w25
160 : 3w69 31w28 77w79 148w40
161 : 52w4 102w3 182w60 275w10
162 : 145w78 193w22 229w17 260w41
163 : 87w44 193w78 206w69 288w59
164 : 27w4 138w2 169w28 173w21
165 : 138w50 159w46 255w56 297w88
166 : 6w39 17w92 40w4 187w67
167 : 110w86 139w76 212w10 289w47
168 : 33w41 89w12 143w43 247w32
169 : 18w12 131w35 164w28 197w99
170 : 12w99 96w11 133w47 151w78
171 : 5w52 10w30 12w7 41w36
172 : 59w65 82w1 113w37 265w43
173 : 40w24 164w21 246w58 265w0
174 : 3w39 125w29 156w3 225w76
175 : 107w18 257w47 287w23 294w97
176 : 15w6 29w85 83w58 86w34
177 : 94w48 124w62 132w29 276w71
178 : 21w13 113w83 226w42 286w72
179 : 106w27 124w30 141w38 248w82
180 : 70w9 109w7 235w60 258w7
181 : 27w76 200w17 278w69 288w21
182 : 161w60 214w100 224w59 277w16
183 : 36w82 68w2 96w77 247w20
184 : 26w11 32w60 99w34 204w58
185 : 92w81 127w17 157w59 233w22
186 : 60w35 67w20 83w62 142w87
187 : 75w45 76w10 166w67 297w56
188 : 46w80 62w7 95w65 234w87
189 : 71w63 112w78 217w57 298w30
190 : 68w91 81w91 250w79 253w85
191 : 8w84 200w21 271w99 292w90
192 : 25w68 88w76 130w40 263w4
193 : 78w27 162w22 163w78 203w0
194 : 30w64 98w83 108w60 248w30
195 : 96w86 219w84 230w81 264w46
196 : 74w3 127w16 229w39 242w78
197 : 109w11 169w99 286w66 291w24
198 : 60w27 116w36 243w90 246w84
199 : 107w40 231w16 244w83 282w38
200 : 181w17 191w21 203w25 284w67
201 : 65w45 77w69 86w52 121w49
202 : 58w82 145w18 154w34 295w91
203 : 20w84 42w82 193w0 200w25
204 : 48w9 51w52 101w92 184w58
205 : 78w21 84w58 147w31 255w18
206 : 91w17 163w69 254w75 285w85
207 : 31w80 151w17 250w64 292w78
208 : 75w46 119w70 251w58 290w53
209 : 23w78 29w17 149w99 248w10
210 : 63w74 79w15 155w72 278w73
211 : 73w80 108w0 237w29 255w40
212 : 38w87 63w24 167w10 217w43
213 : 24w3 80w31 88w36 140w64
214 : 43w0 50w74 144w26 182w100
215 : 57w48 110w93 130w88 276w49
216 : 43w72 59w49 93w85 265w5
217 : 27w81 104w33 189w57 212w43
218 : 79w57 115w20 236w60 284w64
219 : 114w93 125w66 195w84 235w13
220 : 57w95 69w54 91w6 234w52
221 : 11w39 81w63 90w100 135w78
222 : 45w32 227w35 267w13 271w56
223 : 19w43 73w59 82w30 249w48
224 : 0w57 54w21 182w59 276w25
225 : 18w85 36w31 174w76 261w38
226 : 7w81 15w94 72w29 178w42
227 : 35w25 103w79 222w35 262w63
228 : 58w45 101w76 108w96 114w3
229 : 73w47 158w60 162w17 196w39
230 : 13w16 128w21 195w81 249w60
231 : 97w80 100w78 199w16 246w60
232 : 126w81 134w79 240w80 256w9
233 : 22w29 185w22 242w42 266w20
234 : 104w17 153w13 188w87 220w52
235 : 1w80 5w37 180w60 219w13
236 : 155w31 159w0 218w60 286w65
237 : 13w6 76w96 211w29 264w37
238 : 34w75 64w97 153w51 295w93
239 : 41w10 42w47 74w48 105w44
240 : 70w39 232w80 263w25 266w16
241 : 134w55 136w54 260w18 280w80
242 : 56w90 150w21 196w78 233w42
243 : 123w32 155w77 198w90 269w23
244 : 15w44 30w67 47w74 199w83
245 : 23w74 36w63 50w95 74w67
246 : 140w10 173w58 198w84 231w60
247 : 70w12 168w32 183w20 257w59
248 : 81w37 179w82 194w30 209w10
249 : 30w33 223w48 230w60 268w35
250 : 145w93 190w79 207w64 282w59
251 : 39w71 127w86 208w58 285w27
252 : 14w65 133w36 266w96 269w90
253 : 42w33 104w80 147w10 190w85
254 : 40w67 206w75 268w73 284w45
255 : 91w46 165w56 205w18 211w40
256 : 50w92 66w54 232w9 298w51
257 : 149w76 175w47 247w59 287w96
258 : 13w86 55w31 94w0 180w7
259 : 16w73 43w81 78w21 142w88
260 : 76w74 146w45 162w41 241w18
261 : 7w60 9w93 225w38 294w79
262 : 17w59 135w48 156w9 227w63
263 : 16w8 109w92 192w4 240w25
264 : 49w30 195w46 237w37 291w75
265 : 2w53 172w43 173w0 216w5
266 : 146w80 233w20 240w16 252w96
267 : 51w98 77w7 137w67 222w13
268 : 102w45 131w64 249w35 254w73
269 : 102w24 122w30 243w23 252w90
270 : 20w59 47w98 126w70 138w56
271 : 104w55 111w77 191w99 222w56
272 : 4w86 16w73 58w68 66w80
273 : 62w34 110w78 112w54 128w0
274 : 1w49 48w10 141w95 296w42
275 : 8w71 116w42 161w10 283w51
276 : 24w41 177w71 215w49 224w25
277 : 18w31 78w69 92w7 182w16
278 : 0w3 114w26 181w69 210w73
279 : 19w70 88w37 94w95 288w36
280 : 2w27 123w47 152w24 241w80
281 : 18w44 28w12 69w97 148w29
282 : 19w62 130w87 199w38 250w59
283 : 36w56 69w65 138w43 275w51
284 : 142w93 200w67 218w64 254w45
285 : 16w44 206w85 251w27 298w30
286 : 80w4 178w72 197w66 236w65
287 : 39w85 120w68 175w23 257w96
288 : 1w6 163w59 181w21 279w36
289 : 3w32 6w82 26w3 167w47
290 : 26w45 66w49 208w53 293w79
291 : 55w96 126w68 197w24 264w75
292 : 106w9 150w27 191w90 207w78
293 : 79w98 80w39 148w20 290w79
294 : 135w72 136w90 175w97 261w79
295 : 49w28 117w86 202w91 238w93
296 : 97w89 99w81 159w25 274w42
297 : 50w34 86w58 165w88 187w56
298 : 4w19 189w30 256w51 285w30
299 : 10w9 25w43 57w97 67w63
